time    species    pebble_col_abundance
1000    grainC4H4    0.00000e+00
1000    grainCH2CCN    0.00000e+00
1000    grainNCCN    1.37168e-16
1000    grainSiC2    0.00000e+00
1000    grainC4H5    0.00000e+00
1000    grainCH2CHCN    3.77950e-22
1000    grainHC3O    0.00000e+00
1000    grainSiC2H    0.00000e+00
1000    grainC4H6    0.00000e+00
1000    grainH2C3O    0.00000e+00
1000    grainH4C3N    0.00000e+00
1000    grainSiC2H2    0.00000e+00
1000    grainSiNC    0.00000e+00
1000    grainH5C3N    0.00000e+00
1000    grainC2S    1.80104e-22
1000    grainFe    0.00000e+00
1000    grainFeH    0.00000e+00
1000    grainC5    5.70870e-27
1000    grainHCOOCH3    7.00062e-18
1000    grainOCS    2.23165e-19
1000    grainSiO2    0.00000e+00
1000    grainSiS    0.00000e+00
1000    grainC5H    7.00651e-26
1000    grainC4N    4.09478e-27
1000    grainC5H2    2.39000e-25
1000    grainC5H3    0.00000e+00
1000    grainCH3C4H    1.05136e-25
1000    grainS2    5.92745e-20
1000    grainSO2    1.00963e-19
1000    grainCH3C3N    2.43828e-23
1000    grainHS2    2.66215e-17
1000    grainSiC3H    0.00000e+00
1000    grainH2S2    7.63963e-18
1000    grainC3S    8.80605e-26
1000    grainC6    3.48882e-28
1000    grainC6H    8.80599e-28
1000    grainC5N    8.46099e-29
1000    grainC6H2    9.29025e-28
1000    grainC6H3    0.00000e+00
1000    grainHC5N    2.38594e-26
1000    grainC6H4    0.00000e+00
1000    grainH2C5N    0.00000e+00
1000    grainSiC4    0.00000e+00
1000    grainH3C5N    0.00000e+00
1000    grainC6H6    2.88966e-28
1000    grainC4S    8.29463e-30
1000    grainC7    5.78748e-30
1000    grainC7H    6.80223e-32
1000    grainC7H2    8.20258e-32
1000    grainC7H3    0.00000e+00
1000    grainC7H4    0.00000e+00
1000    grainCH3C6H    6.94619e-32
1000    grainCH3C5N    1.17819e-32
1000    grainC8    1.43324e-27
1000    grainC8H    7.35559e-28
1000    grainC7N    2.11356e-33
1000    grainC8H2    1.75357e-30
1000    grainC8H3    0.00000e+00
1000    grainHC7N    8.54736e-33
1000    grainC8H4    0.00000e+00
1000    grainH2C7N    0.00000e+00
1000    grainH3C7N    0.00000e+00
1000    grainC9    3.09660e-27
1000    grainC9H    4.42938e-30
1000    grainC9H2    2.78522e-32
1000    grainC9H3    0.00000e+00
1000    grainC9H4    0.00000e+00
1000    grainCH3C7N    2.72394e-39
1000    grainC10    4.60647e-31
1000    grainC9N    1.53976e-39
1000    grainHC9N    2.78914e-39
1000    grainH2C9N    0.00000e+00
1000    grainH3C9N    0.00000e+00
