time    species    pebble_col_abundance
1000    grainC7H    1.73406e-27
1000    grainC7H2    9.88169e-27
1000    grainC7H3    0.00000e+00
1000    grainC7H4    0.00000e+00
1000    grainCH3C6H    1.42445e-27
1000    grainCH3C5N    1.34440e-32
1000    grainC8    1.53018e-27
1000    grainC8H    8.51373e-28
1000    grainC7N    8.72120e-30
1000    grainC8H2    3.36011e-28
1000    grainC8H3    0.00000e+00
1000    grainHC7N    4.29412e-32
1000    grainC8H4    0.00000e+00
1000    grainH2C7N    0.00000e+00
1000    grainH3C7N    0.00000e+00
1000    grainC9    3.09819e-27
1000    grainC9H    5.16221e-30
1000    grainC9H2    5.66882e-30
1000    grainC9H3    0.00000e+00
1000    grainC9H4    0.00000e+00
1000    grainCH3C7N    2.72384e-39
1000    grainC10    5.34927e-31
1000    grainC9N    1.06860e-32
1000    grainHC9N    2.08773e-35
1000    grainH2C9N    0.00000e+00
1000    grainH3C9N    0.00000e+00
2000    grain    1.19850e-13
2000    grainH    2.03654e-07
2000    grainH(-)    2.04976e-13
2000    grainH2    5.90543e-03
2000    grainHe    1.22180e-14
2000    grainC    1.52812e-14
2000    grainCH    1.10907e-14
2000    grainC(-)    1.43009e-19
2000    grainCH2    1.50844e-12
2000    grainCH3    1.79196e-11
2000    grainN    4.49803e-13
2000    grainNH    1.96637e-13
2000    grainCH4    1.09004e-07
2000    grainNH2    1.76506e-12
2000    grainNH3    7.89993e-08
2000    grainO    2.21547e-11
2000    grainOH    2.97118e-11
2000    grainO(-)    2.77112e-21
2000    grainH2O    6.42838e-06
2000    grainOH(-)    7.54089e-15
2000    grainNa    0.00000e+00
2000    grainC2    1.55457e-15
2000    grainMg    0.00000e+00
2000    grainNaH    0.00000e+00
2000    grainC2H    2.23554e-15
2000    grainMgH    0.00000e+00
2000    grainC2H2    4.02894e-15
2000    grainCN    1.32211e-12
2000    grainCN(-)    5.99920e-15
2000    grainMgH2    0.00000e+00
2000    grainC2H3    9.05731e-17
2000    grainHCN    1.90585e-08
2000    grainHNC    6.93844e-12
2000    grainC2H4    3.36179e-15
2000    grainCHNH    0.00000e+00
2000    grainCNH2    0.00000e+00
2000    grainCO    3.26866e-06
2000    grainH2CN    6.59501e-17
2000    grainN2    1.08954e-06
2000    grainSi    2.97128e-30
2000    grainC2H5    5.09799e-20
2000    grainCH2NH    4.16283e-17
2000    grainCH3N    0.00000e+00
2000    grainCHNH2    0.00000e+00
2000    grainHCO    8.21013e-14
2000    grainHOC    0.00000e+00
2000    grainN2H    0.00000e+00
2000    grainSiH    2.12093e-32
2000    grainC2H6    0.00000e+00
2000    grainCH2NH2    0.00000e+00
2000    grainCH3NH    0.00000e+00
2000    grainCHOH    0.00000e+00
2000    grainH2CO    1.36758e-12
2000    grainHOCH    0.00000e+00
2000    grainN2H2    0.00000e+00
2000    grainNO    1.34984e-15
2000    grainSiH2    6.40807e-35
2000    grainCH2OH    0.00000e+00
2000    grainCH3O    0.00000e+00
2000    grainCH5N    0.00000e+00
2000    grainHNO    1.18131e-15
2000    grainHON    0.00000e+00
2000    grainSiH3    9.25319e-38
2000    grainCH3OH    5.44271e-08
2000    grainNH2OH    0.00000e+00
2000    grainO2    1.14068e-13
2000    grainS    2.44424e-14
2000    grainHS    2.37998e-13
2000    grainS(-)    2.01383e-22
2000    grainSiH4    7.45131e-38
2000    grainO2H    1.96799e-18
2000    grainH2O2    2.37240e-30
2000    grainH2S    1.04025e-09
2000    grainCl    0.00000e+00
2000    grainC3    1.76550e-17
2000    grainHCl    0.00000e+00
2000    grainC3H    3.93524e-18
2000    grainC2N    8.16916e-18
2000    grainC3H2    6.54313e-18
2000    grainH2CCC    1.73347e-19
2000    grainC3H3    0.00000e+00
2000    grainHCCN    0.00000e+00
2000    grainC2O    3.02749e-20
2000    grainC3H4    0.00000e+00
2000    grainCH2CN    1.57324e-21
2000    grainCH3CCH    3.43769e-18
2000    grainNaOH    0.00000e+00
2000    grainSiC    3.43289e-35
2000    grainC3H5    0.00000e+00
2000    grainCH3CN    6.02445e-14
2000    grainHC2O    0.00000e+00
2000    grainHCSi    1.91550e-34
2000    grainC3H6    0.00000e+00
2000    grainCH2CO    4.33105e-16
2000    grainNH2CN    1.06735e-13
2000    grainOCN    7.22141e-16
2000    grainSiCH2    1.93740e-38
2000    grainSiN    7.51834e-36
2000    grainC3H7    0.00000e+00
2000    grainHNCO    4.98136e-17
2000    grainHNSi    7.17385e-39
2000    grainSiCH3    1.71179e-41
2000    grainC3H8    0.00000e+00
2000    grainCH3CHO    4.44236e-14
2000    grainCO2    2.72382e-06
2000    grainCS    6.71031e-16
2000    grainN2O    2.97778e-22
2000    grainSiO    1.11910e-35
2000    grainHCS    3.14029e-18
2000    grainNH2CHO    0.00000e+00
2000    grainNHNO    0.00000e+00
2000    grainC2H5OH    1.37070e-20
2000    grainCH3OCH3    1.69276e-12
2000    grainH2CS    4.29529e-16
2000    grainH2SiO    2.66105e-44
2000    grainHCOOH    1.75413e-14
2000    grainNH2NO    0.00000e+00
2000    grainNO2    7.78427e-21
2000    grainNS    1.90148e-18
2000    grainCCl    0.00000e+00
2000    grainC4    2.40455e-19
2000    grainO3    0.00000e+00
2000    grainSO    2.71039e-16
2000    grainC4H    7.72752e-19
2000    grainC3N    8.32953e-19
2000    grainC4H2    0.00000e+00
2000    grainC4H3    1.30289e-18
2000    grainClO    0.00000e+00
2000    grainHC2NC    0.00000e+00
2000    grainHC3N    1.78934e-19
2000    grainHCNC2    0.00000e+00
2000    grainHNC3    7.88042e-22
2000    grainC3O    2.04293e-18
2000    grainC4H4    0.00000e+00
2000    grainCH2CCN    0.00000e+00
2000    grainNCCN    3.82095e-16
2000    grainSiC2    2.71940e-38
2000    grainC4H5    0.00000e+00
2000    grainCH2CHCN    1.06082e-21
2000    grainHC3O    0.00000e+00
2000    grainSiC2H    8.40133e-39
2000    grainC4H6    0.00000e+00
2000    grainH2C3O    0.00000e+00
2000    grainH4C3N    0.00000e+00
2000    grainSiC2H2    2.46433e-35
2000    grainSiNC    1.55428e-49
2000    grainH5C3N    0.00000e+00
2000    grainC2S    9.85313e-21
2000    grainFe    0.00000e+00
2000    grainFeH    0.00000e+00
2000    grainC5    6.82546e-21
2000    grainHCOOCH3    1.94802e-17
2000    grainOCS    6.21668e-19
2000    grainSiO2    1.68279e-44
2000    grainSiS    2.18419e-41
2000    grainC5H    3.82755e-21
2000    grainC4N    7.64574e-21
2000    grainC5H2    6.94407e-21
2000    grainC5H3    0.00000e+00
2000    grainCH3C4H    3.66746e-22
2000    grainS2    1.65055e-19
2000    grainSO2    2.82566e-19
2000    grainCH3C3N    7.05205e-23
2000    grainHS2    7.38753e-17
2000    grainSiC3H    6.09631e-43
2000    grainH2S2    2.12015e-17
2000    grainC3S    4.61604e-23
2000    grainC6    3.38647e-22
2000    grainC6H    5.40157e-23
2000    grainC5N    1.74322e-25
2000    grainC6H2    2.94898e-22
2000    grainC6H3    0.00000e+00
2000    grainHC5N    1.43148e-24
