time    species    pebble_col_abundance
1000    grainC7H    3.23883e-31
1000    grainC7H2    1.67826e-31
1000    grainC7H3    0.00000e+00
1000    grainC7H4    0.00000e+00
1000    grainCH3C6H    1.36306e-31
1000    grainCH3C5N    2.30820e-32
1000    grainC8    8.23636e-28
1000    grainC8H    4.35805e-28
1000    grainC7N    4.11476e-33
1000    grainC8H2    9.20683e-31
1000    grainC8H3    0.00000e+00
1000    grainHC7N    1.66767e-32
1000    grainC8H4    0.00000e+00
1000    grainH2C7N    0.00000e+00
1000    grainH3C7N    0.00000e+00
1000    grainC9    1.82921e-27
1000    grainC9H    2.35378e-30
1000    grainC9H2    1.33094e-32
1000    grainC9H3    0.00000e+00
1000    grainC9H4    0.00000e+00
1000    grainCH3C7N    5.30364e-39
1000    grainC10    5.15573e-30
1000    grainC9N    1.46471e-39
1000    grainHC9N    5.53133e-39
1000    grainH2C9N    0.00000e+00
1000    grainH3C9N    0.00000e+00
2000    grain    1.57963e-13
2000    grainH    2.64509e-08
2000    grainH(-)    2.29929e-13
2000    grainH2    7.78175e-03
2000    grainHe    1.60998e-14
2000    grainC    2.30697e-14
2000    grainCH    1.60079e-14
2000    grainC(-)    2.70994e-26
2000    grainCH2    2.36725e-12
2000    grainCH3    2.78576e-11
2000    grainN    6.84889e-13
2000    grainNH    2.73072e-13
2000    grainCH4    1.43632e-07
2000    grainNH2    2.75082e-12
2000    grainNH3    1.04110e-07
2000    grainO    3.44468e-11
2000    grainOH    4.51132e-11
2000    grainO(-)    8.96542e-27
2000    grainH2O    8.47260e-06
2000    grainOH(-)    9.93227e-15
2000    grainNa    0.00000e+00
2000    grainC2    2.23075e-17
2000    grainMg    0.00000e+00
2000    grainNaH    0.00000e+00
2000    grainC2H    1.64743e-16
2000    grainMgH    0.00000e+00
2000    grainC2H2    3.32657e-15
2000    grainCN    1.74077e-12
2000    grainCN(-)    7.90363e-15
2000    grainMgH2    0.00000e+00
2000    grainC2H3    1.09514e-16
2000    grainHCN    2.51193e-08
2000    grainHNC    9.13964e-12
2000    grainC2H4    4.42242e-15
2000    grainCHNH    0.00000e+00
2000    grainCNH2    0.00000e+00
2000    grainCO    4.30813e-06
2000    grainH2CN    8.66924e-17
2000    grainN2    1.43603e-06
2000    grainSi    0.00000e+00
2000    grainC2H5    6.44121e-20
2000    grainCH2NH    5.47805e-17
2000    grainCH3N    0.00000e+00
2000    grainCHNH2    0.00000e+00
2000    grainHCO    1.08074e-13
2000    grainHOC    0.00000e+00
2000    grainN2H    0.00000e+00
2000    grainSiH    0.00000e+00
2000    grainC2H6    0.00000e+00
2000    grainCH2NH2    0.00000e+00
2000    grainCH3NH    0.00000e+00
2000    grainCHOH    0.00000e+00
2000    grainH2CO    1.80118e-12
2000    grainHOCH    0.00000e+00
2000    grainN2H2    0.00000e+00
2000    grainNO    1.76309e-15
2000    grainSiH2    0.00000e+00
2000    grainCH2OH    0.00000e+00
2000    grainCH3O    0.00000e+00
2000    grainCH5N    0.00000e+00
2000    grainHNO    1.55395e-15
2000    grainHON    0.00000e+00
2000    grainSiH3    0.00000e+00
2000    grainCH3OH    7.17356e-08
2000    grainNH2OH    0.00000e+00
2000    grainO2    1.50139e-13
2000    grainS    3.79254e-14
2000    grainHS    3.02339e-13
2000    grainS(-)    1.86951e-22
2000    grainSiH4    0.00000e+00
2000    grainO2H    2.59145e-18
2000    grainH2O2    3.12006e-30
2000    grainH2S    1.37107e-09
2000    grainCl    0.00000e+00
2000    grainC3    6.24530e-19
2000    grainHCl    0.00000e+00
2000    grainC3H    1.21973e-18
2000    grainC2N    1.05737e-17
2000    grainC3H2    2.00708e-18
2000    grainH2CCC    1.28917e-19
2000    grainC3H3    0.00000e+00
2000    grainHCCN    0.00000e+00
2000    grainC2O    2.82932e-20
2000    grainC3H4    0.00000e+00
2000    grainCH2CN    1.63650e-21
2000    grainCH3CCH    2.01804e-19
2000    grainNaOH    0.00000e+00
2000    grainSiC    0.00000e+00
2000    grainC3H5    0.00000e+00
2000    grainCH3CN    7.93496e-14
2000    grainHC2O    0.00000e+00
2000    grainHCSi    0.00000e+00
2000    grainC3H6    0.00000e+00
2000    grainCH2CO    5.70323e-16
2000    grainNH2CN    1.40566e-13
2000    grainOCN    9.50168e-16
2000    grainSiCH2    0.00000e+00
2000    grainSiN    0.00000e+00
2000    grainC3H7    0.00000e+00
2000    grainHNCO    6.55261e-17
2000    grainHNSi    0.00000e+00
2000    grainSiCH3    0.00000e+00
2000    grainC3H8    0.00000e+00
2000    grainCH3CHO    5.84788e-14
2000    grainCO2    3.59003e-06
2000    grainCS    8.83683e-16
2000    grainN2O    3.82167e-22
2000    grainSiO    0.00000e+00
2000    grainHCS    4.13164e-18
2000    grainNH2CHO    0.00000e+00
2000    grainNHNO    0.00000e+00
2000    grainC2H5OH    1.80482e-20
2000    grainCH3OCH3    2.23009e-12
2000    grainH2CS    5.65731e-16
2000    grainH2SiO    0.00000e+00
2000    grainHCOOH    2.31100e-14
2000    grainNH2NO    0.00000e+00
2000    grainNO2    1.01810e-20
2000    grainNS    2.50180e-18
2000    grainCCl    0.00000e+00
2000    grainC4    3.96028e-27
2000    grainO3    0.00000e+00
2000    grainSO    3.56650e-16
2000    grainC4H    1.32997e-22
2000    grainC3N    1.09631e-18
2000    grainC4H2    0.00000e+00
2000    grainC4H3    1.71852e-23
2000    grainClO    0.00000e+00
2000    grainHC2NC    0.00000e+00
2000    grainHC3N    2.35068e-19
2000    grainHCNC2    0.00000e+00
2000    grainHNC3    1.03625e-21
2000    grainC3O    2.69158e-18
2000    grainC4H4    0.00000e+00
2000    grainCH2CCN    0.00000e+00
2000    grainNCCN    5.02777e-16
2000    grainSiC2    0.00000e+00
2000    grainC4H5    0.00000e+00
2000    grainCH2CHCN    1.38600e-21
2000    grainHC3O    0.00000e+00
2000    grainSiC2H    0.00000e+00
2000    grainC4H6    0.00000e+00
2000    grainH2C3O    0.00000e+00
2000    grainH4C3N    0.00000e+00
2000    grainSiC2H2    0.00000e+00
2000    grainSiNC    0.00000e+00
2000    grainH5C3N    0.00000e+00
2000    grainC2S    6.59646e-22
2000    grainFe    0.00000e+00
2000    grainFeH    0.00000e+00
2000    grainC5    2.10484e-26
2000    grainHCOOCH3    2.56422e-17
2000    grainOCS    8.17836e-19
2000    grainSiO2    0.00000e+00
2000    grainSiS    0.00000e+00
2000    grainC5H    2.57469e-25
2000    grainC4N    1.50121e-26
2000    grainC5H2    8.77666e-25
2000    grainC5H3    0.00000e+00
2000    grainCH3C4H    3.85907e-25
2000    grainS2    2.17211e-19
